Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close
1001,1,V,Toronto ,1,2,1,4,5.5u15,5.5u20
1001,2,H,Montreal ,2,0,1,3,-130,-135
1001,3,V,Washington ,1,1,2,4,5.5u15,5.5u30
1001,4,H,Chicago ,2,1,3,6,-165,-175
1001,5,V,Winnipeg ,2,1,2,5,5.5u10,5.5u20
1001,6,H,Edmonton ,2,2,0,4,-145,-140
1002,51,V,Toronto ,0,1,2,3,5.5o20,6
1002,52,H,Philadelphia ,1,0,0,1,-134,-145
1002,53,V,Buffalo ,0,0,1,1,5.5u20,5.5u30
1002,54,H,Detroit ,2,0,0,2,-182,-210
1002,55,V,Anaheim ,0,0,1,1,-104,5.5o20
1002,56,H,Colorado ,1,3,2,6,5.5u15,-125
1003,1,V,Calgary ,3,1,0,4,5.5o04,5.5o25
1003,2,H,Washington ,0,3,1,5,-195,-250
1003,3,V,New Jersey ,0,0,0,0,5.5o04,5.5u15
1003,4,H,Pittsburgh ,2,0,1,3,-185,-190
1003,5,V,Tampa Bay ,0,1,0,1,5.5o04,5.5o15
1003,6,H,Boston ,1,1,1,3,-193,-210
1003,7,V,Nashville ,1,1,0,2,5o04,5o20
1003,8,H,St. Louis ,3,1,0,4,-185,-200
1003,9,V,Los Angeles ,1,0,1,3,-104,-115
1003,10,H,Minnesota ,2,0,0,2,5o10,5o20
1003,11,V,Florida ,1,0,3,4,5.5u15,5.5o15
1003,12,H,Dallas ,0,1,1,2,-165,-155
1003,13,V,NY Rangers ,0,1,0,1,-104,5o30
1003,14,H,Phoenix ,1,1,2,4,5o20,-130
1003,15,V,Vancouver ,1,0,0,1,5o15,5o40
1003,16,H,San Jose ,0,2,2,4,-125,-145
1004,51,V,Ottawa ,0,0,1,1,-120,-140
1004,52,H,Buffalo ,0,0,0,0,5.5o15,5.5u30
1004,53,V,NY Islanders ,1,1,1,4,5.5o04,-110
1004,54,H,New Jersey ,1,1,1,3,-115,5.5u25
1004,55,V,Calgary ,2,0,2,4,5.5o09,5.5o15
1004,56,H,Columbus ,2,0,1,3,-182,-205
1004,57,V,Detroit ,0,0,2,3,-115,-125
1004,58,H,Carolina ,1,1,0,2,5.5o15,5.5
1004,59,V,Los Angeles ,1,0,2,3,-105,5.5u20
1004,60,H,Winnipeg ,1,1,3,5,5.5o04,-125
1004,61,V,Nashville ,0,1,0,1,5.5u20,5.5u25
1004,62,H,Colorado ,1,1,1,3,-156,-150
1005,1,V,Philadelphia ,0,0,1,1,6u20,6u25
1005,2,H,Montreal ,1,0,3,4,-127,-125
1005,3,V,Ottawa ,2,2,0,4,5.5o15,5.5u35
1005,4,H,Toronto ,2,1,1,5,-135,-140
1005,5,V,Detroit ,1,0,0,1,5.5u20,5.5u55
1005,6,H,Boston ,1,2,1,4,-145,-170
1005,7,V,Columbus ,0,0,2,3,5.5o04,5.5u15
1005,8,H,NY Islanders ,0,2,0,2,-125,-125
1005,9,V,Buffalo ,0,0,1,1,6u20,6u35
1005,10,H,Pittsburgh ,2,0,2,4,-220,-270
1005,11,V,Tampa Bay ,0,0,2,3,5.5o20,5.5o30
1005,12,H,Chicago ,0,2,0,2,-209,-230
1005,13,V,Florida ,0,0,0,0,5.5u20,5.5u40
1005,14,H,St. Louis ,1,4,2,7,-200,-210
1005,15,V,Washington ,1,0,0,1,-104,-120
1005,16,H,Dallas ,1,1,0,2,5.5o30,5.5o20
1005,17,V,Anaheim ,2,1,0,4,5o30,5o35
1005,18,H,Minnesota ,1,1,1,3,-130,-145
1005,19,V,Edmonton ,1,1,0,2,5.5u15,5.5u30
1005,20,H,Vancouver ,3,2,1,6,-151,-150
1005,21,V,Phoenix ,0,1,0,1,5.5u35,5.5u45
1005,22,H,San Jose ,3,0,1,4,-151,-155
1006,51,V,Philadelphia ,0,1,0,1,5.5o30,5.5o15
1006,52,H,Carolina ,1,1,0,2,-120,-140
1006,53,V,Anaheim ,1,1,1,3,5.5o20,5.5o15
1006,54,H,Winnipeg ,2,0,0,2,-125,-150
1006,55,V,Vancouver ,1,0,3,5,-145,-125
1006,56,H,Calgary ,1,1,2,4,5.5o04,5.5o15
1007,1,V,New Jersey ,2,1,1,4,5.5u20,5.5u35
1007,2,H,Edmonton ,0,0,4,5,-135,-120
1007,3,V,NY Rangers ,1,1,1,3,5o20,5o15
1007,4,H,Los Angeles ,0,1,0,1,-145,-165
1008,51,V,Colorado ,0,1,1,2,6u20,6
1008,52,H,Toronto ,0,1,0,1,-137,-135
1008,53,V,Phoenix ,0,1,0,1,5.5u20,5.5u20
1008,54,H,NY Islanders ,2,3,1,6,-125,-130
1008,55,V,Florida ,0,1,0,1,5.5o15,5.5o20
1008,56,H,Philadelphia ,2,0,0,2,-155,-165
1008,57,V,Carolina ,0,1,1,2,5.5o25,5.5
1008,58,H,Pittsburgh ,1,1,3,5,-209,-220
1008,59,V,Tampa Bay ,0,1,1,3,5.5u15,-120
1008,60,H,Buffalo ,0,2,0,2,-115,5.5u25
1008,61,V,Minnesota ,1,1,0,2,5o25,5o25
1008,62,H,Nashville ,3,0,0,3,-110,-130
1008,63,V,New Jersey ,1,1,0,2,5.5u15,5.5u50
1008,64,H,Vancouver ,0,2,0,3,-179,-180
1008,65,V,NY Rangers ,1,0,1,2,5o20,5o20
1008,66,H,San Jose ,2,4,3,9,-159,-170
1009,1,V,Chicago ,1,1,0,2,5.5u25,5.5u40
1009,2,H,St. Louis ,1,1,1,3,-120,-120
1009,3,V,Montreal ,0,1,1,2,-130,-140
1009,4,H,Calgary ,2,1,0,3,5.5o15,5.5o35
1009,5,V,Ottawa ,0,1,2,3,5o20,5u15
1009,6,H,Los Angeles ,3,0,0,4,-140,-175
1010,51,V,Colorado ,1,0,1,2,5.5u20,5.5u30
1010,52,H,Boston ,0,0,0,0,-165,-205
1010,53,V,Columbus ,3,1,0,4,-125,-115
1010,54,H,Buffalo ,1,0,0,1,5o20,5o30
1010,55,V,Carolina ,0,2,1,3,5.5o20,5.5o15
1010,56,H,Washington ,1,1,0,2,-159,-175
1010,57,V,Phoenix ,1,1,2,4,5o20,5o30
1010,58,H,Detroit ,0,2,0,2,-164,-175
1010,59,V,Florida ,0,1,1,2,5.5o17,5.5o35
1010,60,H,Tampa Bay ,2,2,3,7,-159,-180
1010,61,V,Toronto ,0,2,2,4,5.5u10,-115
1010,62,H,Nashville ,0,0,0,0,-114,5.5u35
1010,63,V,Winnipeg ,1,0,0,1,5.5u10,5.5u20
1010,64,H,Minnesota ,1,1,0,2,-125,-160
1010,65,V,Montreal ,0,2,2,4,5.5o15,5.5o20
1010,66,H,Edmonton ,0,1,0,1,-125,-130
1010,67,V,San Jose ,2,1,1,4,5.5u15,-125
1010,68,H,Vancouver ,0,1,0,1,-125,5.5u30
1010,69,V,NY Rangers ,0,0,0,0,5.5u20,5.5u50
1010,70,H,Anaheim ,3,3,0,6,-137,-150
1011,1,V,Phoenix ,1,1,0,2,5.5u10,5.5
1011,2,H,Philadelphia ,0,1,0,1,-143,-160
1011,3,V,Los Angeles ,0,0,1,2,-125,-140
1011,4,H,Carolina ,0,0,1,1,5.5o04,5.5u35
1011,5,V,Pittsburgh ,2,1,0,3,-177,-205
1011,6,H,Florida ,2,2,2,6,5.5o20,5.5o30
1011,7,V,NY Islanders ,2,0,0,2,5.5o15,5.5o40
1011,8,H,Chicago ,2,1,0,3,-175,-200
1011,9,V,Dallas ,3,1,0,4,5.5o18,5.5u15
1011,10,H,Winnipeg ,0,0,1,1,-132,-115
1011,11,V,New Jersey ,1,1,0,2,-104,-125
1011,12,H,Calgary ,0,2,1,3,5.5u15,5.5u25
1012,51,V,Boston ,0,1,2,3,-120,-135
1012,52,H,Columbus ,1,0,0,1,5o15,5o25
1012,53,V,Edmonton ,2,1,2,5,5.5o15,5.5o20
1012,54,H,Toronto ,2,1,2,6,-160,-180
1012,55,V,Philadelphia ,0,1,1,2,5.5u20,5.5u35
1012,56,H,Detroit ,1,1,3,5,-160,-210
1012,57,V,Pittsburgh ,0,2,3,5,-130,-135
1012,58,H,Tampa Bay ,1,2,1,4,5.5o15,5.5o40
1012,59,V,Colorado ,2,1,2,5,5.5o10,5.5
