Date,VH,Team,Final
1008,V,Montreal ,4
1008,H,Toronto ,3
1008,V,Philadelphia ,1
1008,H,Boston ,2
1008,V,San Jose ,4
1008,H,Los Angeles ,0
1008,V,Vancouver ,4
1008,H,Calgary ,2
1009,V,Montreal ,2
1009,H,Washington ,1
1009,V,Anaheim ,4
1009,H,Pittsburgh ,6
1009,V,New Jersey ,6
1009,H,Philadelphia ,4
1009,V,Columbus ,3
1009,H,Buffalo ,1
1009,V,Boston ,1
1009,H,Detroit ,2
1009,V,Florida ,2
1009,H,Tampa Bay ,3
1009,V,Ottawa ,2
1009,H,Nashville ,3
1009,V,NY Rangers ,3
1009,H,St. Louis ,2
1009,V,Chicago ,3
1009,H,Dallas ,2
1009,V,Colorado ,0
1009,H,Minnesota ,5
1009,V,Calgary ,5
1009,H,Edmonton ,2
1009,V,Winnipeg ,6
1009,H,Arizona ,2
1010,V,NY Islanders ,5
1010,H,Carolina ,3
1011,V,Washington ,4
1011,H,Boston ,0
1011,V,Anaheim ,3
1011,H,Detroit ,2
1011,V,New Jersey ,5
1011,H,Florida ,1
1011,V,Carolina ,3
1011,H,NY Islanders ,4
1011,V,NY Rangers ,2
1011,H,Columbus ,5
1011,V,Pittsburgh ,5
1011,H,Toronto ,2
1011,V,Ottawa ,3
1011,H,Tampa Bay ,2
1011,V,Montreal ,4
1011,H,Philadelphia ,3
1011,V,Calgary ,1
1011,H,St. Louis ,4
1011,V,Dallas ,1
1011,H,Nashville ,4
1011,V,Buffalo ,2
1011,H,Chicago ,6
1011,V,Los Angeles ,2
1011,H,Arizona ,3
1011,V,Minnesota ,3
1011,H,Colorado ,0
1011,V,Edmonton ,4
1011,H,Vancouver ,5
1011,V,Winnipeg ,0
1011,H,San Jose ,3
1012,V,Toronto ,6
1012,H,NY Rangers ,3
1012,V,Winnipeg ,1
1012,H,Los Angeles ,4
1013,V,Colorado ,2
1013,H,Boston ,1
1013,V,Anaheim ,5
1013,H,Buffalo ,1
1013,V,Montreal ,1
1013,H,Tampa Bay ,7
1013,V,Ottawa ,1
1013,H,Florida ,0
1014,V,NY Islanders ,6
1014,H,NY Rangers ,3
1014,V,San Jose ,6
1014,H,Washington ,5
1014,V,Anaheim ,4
1014,H,Philadelphia ,3
1014,V,Dallas ,4
1014,H,Columbus ,2
1014,V,New Jersey ,2
1014,H,Tampa Bay ,1
1014,V,Colorado ,2
1014,H,Toronto ,3
1014,V,Buffalo ,4
1014,H,Carolina ,3
1014,V,Calgary ,3
1014,H,Nashville ,2
1014,V,Edmonton ,1
1014,H,Los Angeles ,6
1015,V,Calgary ,2
1015,H,Chicago ,1
1015,V,Boston ,3
1015,H,Detroit ,2
1015,V,Edmonton ,4
1015,H,Arizona ,7
1016,V,San Jose ,3
1016,H,NY Islanders ,4
1016,V,Dallas ,3
1016,H,Pittsburgh ,2
1016,V,New Jersey ,2
1016,H,Washington ,6
1016,V,Carolina ,1
1016,H,NY Rangers ,2
1016,V,Colorado ,3
1016,H,Ottawa ,5
1016,V,Boston ,4
1016,H,Montreal ,6
1016,V,St. Louis ,0
1016,H,Los Angeles ,1
1017,V,Calgary ,2
1017,H,Columbus ,3
1017,V,Florida ,1
1017,H,Buffalo ,0
1017,V,Detroit ,4
1017,H,Toronto ,1
1017,V,Nashville ,2
1017,H,Winnipeg ,0
1017,V,Vancouver ,2
1017,H,Edmonton ,0
1017,V,Minnesota ,1
1017,H,Anaheim ,2
1018,V,San Jose ,4
1018,H,New Jersey ,2
1018,V,NY Islanders ,1
1018,H,Pittsburgh ,3
1018,V,Florida ,1
1018,H,Washington ,2
1018,V,Boston ,4
1018,H,Buffalo ,0
1018,V,Colorado ,2
1018,H,Montreal ,3
1018,V,Columbus ,2
1018,H,Ottawa ,3
1018,V,Toronto ,0
1018,H,Detroit ,1
1018,V,Philadelphia ,6
1018,H,Dallas ,5
1018,V,Nashville ,1
1018,H,Chicago ,2
1018,V,St. Louis ,6
1018,H,Arizona ,1
1018,V,Tampa Bay ,4
1018,H,Vancouver ,2
1019,V,Minnesota ,1
1019,H,Los Angeles ,2
1019,V,San Jose ,0
1019,H,NY Rangers ,4
1019,V,Calgary ,4
1019,H,Winnipeg ,1
1019,V,St. Louis ,0
1019,H,Anaheim ,3
1020,V,Tampa Bay ,2
1020,H,Edmonton ,3
1021,V,San Jose ,3
1021,H,Boston ,5
1021,V,NY Rangers ,4
1021,H,New Jersey ,3
1021,V,Toronto ,5
1021,H,NY Islanders ,2
1021,V,Detroit ,1
1021,H,Montreal ,2
1021,V,Arizona ,3
1021,H,Nashville ,4
1021,V,Carolina ,1
1021,H,Winnipeg ,3
1021,V,Philadelphia ,0
1021,H,Chicago ,4
1021,V,Vancouver ,3
1021,H,Dallas ,6
1021,V,Tampa Bay ,2
1021,H,Calgary ,1
1021,V,Florida ,4
1021,H,Colorado ,3
1022,V,Philadelphia ,5
1022,H,Pittsburgh ,3
1022,V,Washington ,2
1022,H,Edmonton ,3
1022,V,Buffalo ,1
1022,H,Anaheim ,4
1023,V,NY Islanders ,3
1023,H,Boston ,2
1023,V,Pittsburgh ,3
1023,H,Detroit ,4
1023,V,Arizona ,0
1023,H,Minnesota ,2
1023,V,Chicago ,2
1023,H,Nashville ,3
1023,V,Vancouver ,4
1023,H,St. Louis ,1
1023,V,Carolina ,0
1023,H,Calgary ,5
1023,V,Columbus ,5
1023,H,San Jose ,4
1023,V,Buffalo ,0
1023,H,Los Angeles ,2
1024,V,Dallas ,3
1024,H,New Jersey ,2
1024,V,Tampa Bay ,4
1024,H,Winnipeg ,2
1024,V,Vancouver ,3
1024,H,Colorado ,7
1024,V,Carolina ,3
1024,H,Edmonton ,6
1024,V,Columbus ,1
1024,H,Anaheim ,4
1025,V,Buffalo ,2
1025,H,San Jose ,1
1025,V,Boston ,4
1025,H,Toronto ,1
1025,V,NY Rangers ,1
1025,H,Montreal ,3
1025,V,New Jersey ,3
1025,H,Ottawa ,2
1025,V,Dallas ,5
1025,H,NY Islanders ,7
1025,V,Detroit ,2
1025,H,Philadelphia ,4
1025,V,Chicago ,2
1025,H,St. Louis ,3
1025,V,Pittsburgh ,3
1025,H,Nashville ,0
1025,V,Tampa Bay ,2
1025,H,Minnesota ,7
1025,V,Florida ,1
1025,H,Arizona ,2
1025,V,Washington ,3
1025,H,Calgary ,1
1026,V,Colorado ,1
1026,H,Winnipeg ,2
1026,V,Columbus ,2
1026,H,Los Angeles ,5
1026,V,Ottawa ,1
1026,H,Chicago ,2
1026,V,San Jose ,4
1026,H,Anaheim ,1
1026,V,Washington ,2
1026,H,Vancouver ,4
1027,V,Minnesota ,4
1027,H,NY Rangers ,5
1027,V,Montreal ,0
