"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2013-01-19,1,60,41,62,-21,39.81,41,62,7,3,4,70,7,3,2.82,2.35,0.47,54.53,2.82,2.35,4,3,-1,26.92,89.66,116.58
"ANA",2013-01-21,1,60,44,58,-14,43.14,44,58,5,4,1,55.56,5,4,3.27,2.44,0.83,57.28,3.27,2.44,3,2,-1,20.83,84,104.83
"ANA",2013-01-25,1,60,48,58,-10,45.28,48,58,0,5,-5,0,0,5,2.09,4.51,-2.42,31.66,2.09,4.51,12,5,-7,0,85.29,85.29
"ANA",2013-01-26,1,65,54,47,7,53.47,49.85,43.38,2,2,0,50,1.85,1.85,1.85,2.65,-0.8,41.15,1.71,2.44,3,4,1,9.09,90.48,99.57
"ANA",2013-01-29,1,65,67,52,15,56.3,61.85,48,2,2,0,50,1.85,1.85,2.62,2.51,0.1,51.01,2.41,2.32,2,4,2,6.67,88.89,95.56
"ANA",2013-02-01,1,60,65,46,19,58.56,65,46,3,1,2,75,3,1,2.26,1.89,0.37,54.46,2.26,1.89,1,2,1,9.68,96.3,105.97
"ANA",2013-02-02,1,60,40,74,-34,35.09,40,74,7,4,3,63.64,7,4,2.74,4.92,-2.18,35.75,2.74,4.92,5,5,0,28,88.24,116.24
"ANA",2013-02-04,1,60,58,68,-10,46.03,58,68,2,1,1,66.67,2,1,2.84,3.01,-0.16,48.6,2.84,3.01,7,8,1,6.25,96.15,102.4
"ANA",2013-02-06,1,60,48,66,-18,42.11,48,66,3,0,3,100,3,0,2.62,2.3,0.32,53.25,2.62,2.3,3,7,4,15,100,115
"ANA",2013-02-08,1,60,48,55,-7,46.6,48,55,1,3,-2,25,1,3,2.69,2.39,0.3,52.94,2.69,2.39,8,6,-2,4.76,89.29,94.05
"ANA",2013-02-09,1,65,44,62,-18,41.51,40.62,57.23,5,5,0,50,4.62,4.62,2.64,2.75,-0.1,49.03,2.44,2.53,2,1,-1,21.74,83.87,105.61
"ANA",2013-02-12,1,65,52,50,2,50.98,48,46.15,2,2,0,50,1.85,1.85,2.98,2.05,0.92,59.17,2.75,1.9,8,6,-2,6.45,93.33,99.78
"ANA",2013-02-15,1,60,59,59,0,50,59,59,5,2,3,71.43,5,2,4.64,3.61,1.03,56.24,4.64,3.61,4,3,-1,13.51,92.86,106.37
"ANA",2013-02-16,1,65,51,62,-11,45.13,47.08,57.23,2,2,0,50,1.85,1.85,2.06,3.04,-0.97,40.44,1.9,2.8,5,2,-3,9.09,94.12,103.21
"ANA",2013-02-18,1,60,49,70,-21,41.18,49,70,3,2,1,60,3,2,2.66,3.18,-0.52,45.58,2.66,3.18,3,3,0,10.34,92.59,102.94
"ANA",2013-02-24,1,64.23,69,57,12,54.76,64.45,53.24,4,3,1,57.14,3.74,2.8,4.23,2.37,1.86,64.1,3.96,2.22,5,6,1,10.26,86.96,97.21
"ANA",2013-02-25,1,60,48,62,-14,43.64,48,62,2,5,-3,28.57,2,5,2.45,2.47,-0.02,49.76,2.45,2.47,3,4,1,7.69,80,87.69
"ANA",2013-02-27,1,60,57,38,19,60,57,38,5,1,4,83.33,5,1,3.04,1.04,2,74.46,3.04,1.04,4,5,1,17.86,95.24,113.1
"ANA",2013-03-01,1,60,48,60,-12,44.44,48,60,3,2,1,60,3,2,2.24,2.39,-0.15,48.35,2.24,2.39,5,3,-2,10.34,93.94,104.28
"ANA",2013-03-02,1,65,58,81,-23,41.73,53.54,74.77,4,4,0,50,3.69,3.69,2.87,3.16,-0.29,47.59,2.65,2.92,1,4,3,11.43,89.19,100.62
"ANA",2013-03-04,1,65,49,71,-22,40.83,45.23,65.54,4,4,0,50,3.69,3.69,2.19,3.37,-1.19,39.32,2.02,3.11,4,2,-2,12.9,90,102.9
"ANA",2013-03-06,1,60,43,51,-8,45.74,43,51,2,0,2,100,2,0,2.96,1.26,1.7,70.15,2.96,1.26,3,2,-1,8.33,100,108.33
"ANA",2013-03-08,1,60,44,65,-21,40.37,44,65,4,0,4,100,4,0,2,2.54,-0.55,43.99,2,2.54,2,0,-2,16.67,100,116.67
"ANA",2013-03-10,1,60,48,51,-3,48.48,48,51,4,2,2,66.67,4,2,2.52,1.99,0.54,55.94,2.52,1.99,3,7,4,18.18,93.55,111.73
"ANA",2013-03-12,1,59.48,41,67,-26,37.96,41.36,67.58,2,1,1,66.67,2.02,1.01,1.78,3.04,-1.26,36.9,1.79,3.06,8,5,-3,9.52,96.77,106.3
"ANA",2013-03-14,1,65,70,70,0,50,64.62,64.62,1,1,0,50,0.92,0.92,3.5,3.08,0.42,53.22,3.23,2.84,6,4,-2,3.33,97.06,100.39
"ANA",2013-03-16,1,60.75,59,47,12,55.66,58.27,46.42,1,2,-1,33.33,0.99,1.98,2.75,1.93,0.82,58.75,2.72,1.91,3,2,-1,3.57,90.48,94.05
"ANA",2013-03-18,1,60,44,67,-23,39.64,44,67,5,3,2,62.5,5,3,2.67,2.55,0.11,51.06,2.67,2.55,4,2,-2,17.86,91.43,109.29
"ANA",2013-03-20,1,60,51,50,1,50.5,51,50,4,2,2,66.67,4,2,3.23,1.7,1.54,65.57,3.23,1.7,2,1,-1,15.38,91.67,107.05
"ANA",2013-03-22,1,60,56,52,4,51.85,56,52,1,5,-4,16.67,1,5,2.5,2.79,-0.29,47.25,2.5,2.79,5,6,1,2.94,78.26,81.2
"ANA",2013-03-24,1,60,63,41,22,60.58,63,41,1,2,-1,33.33,1,2,2.52,1.89,0.63,57.19,2.52,1.89,11,4,-7,2.94,90.48,93.42
"ANA",2013-03-25,1,60,59,59,0,50,59,59,3,5,-2,37.5,3,5,2.98,3.82,-0.85,43.78,2.98,3.82,5,2,-3,11.11,87.18,98.29
"ANA",2013-03-27,1,60,66,52,14,55.93,66,52,0,4,-4,0,0,4,2.23,3.21,-0.98,41.02,2.23,3.21,6,5,-1,0,86.21,86.21
