"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","xPDO","dPDO","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","PENT/60","PEND/60"
"ANA",2013-01-19,1,60,41,62,-21,39.81,41,62,7,3,4,70,7,3,2.82,2.35,0.47,54.53,2.82,2.35,4,3,-1,26.92,89.66,116.58,14,31,30,18.67,40,41.33,0.32,38,37,50.67,4,10,4,10,21,20,1,21,20,20.59,93.62,8.29,95,12.3,-1.38,103.29,13.29,34,47,-13,41.98,34,47,26,29,-3,47.27,26,29,4,3
"ANA",2013-01-21,1,60,44,58,-14,43.14,44,58,5,4,1,55.56,5,4,3.27,2.44,0.83,57.28,3.27,2.44,3,2,-1,20.83,84,104.83,22,24,19,33.85,29.23,36.92,0.54,37,28,56.92,10,8,10,8,17,17,0,17,17,15.15,90.24,9.91,94.05,5.24,-3.8,103.96,0.87,33,41,-8,44.59,33,41,24,25,-1,48.98,24,25,3,2
"ANA",2013-01-25,1,60,48,58,-10,45.28,48,58,0,5,-5,0,0,5,2.09,4.51,-2.42,31.66,2.09,4.51,12,5,-7,0,85.29,85.29,17,21,30,25,44.12,30.88,0.36,32,36,47.06,9,5,9,5,29,29,0,29,29,0,89.58,5.5,90.6,-5.5,-1.02,96.1,-10.81,38,48,-10,44.19,38,48,30,34,-4,46.88,30,34,12,5
"ANA",2013-01-26,1,65,54,47,7,53.47,49.85,43.38,2,2,0,50,1.85,1.85,1.85,2.65,-0.8,41.15,1.71,2.44,3,4,1,9.09,90.48,99.57,23,18,11,44.23,21.15,34.62,0.68,26,26,50,14,2,12.92,1.85,28,19,9,25.85,17.54,5.41,94.29,5,92.44,0.4,1.85,97.44,2.13,37,35,2,51.39,34.15,32.31,22,21,1,51.16,20.31,19.38,2.77,3.69
"ANA",2013-01-29,1,65,67,52,15,56.3,61.85,48,2,2,0,50,1.85,1.85,2.62,2.51,0.1,51.01,2.41,2.32,2,4,2,6.67,88.89,95.56,26,11,13,52,26,22,0.67,23,27,46,14,7,12.92,6.46,22,29,-7,20.31,26.77,4.44,94.59,5.81,93.21,-1.37,1.38,99.02,-3.47,45,37,8,54.88,41.54,34.15,30,18,12,62.5,27.69,16.62,1.85,3.69
"ANA",2013-02-01,1,60,65,46,19,58.56,65,46,3,1,2,75,3,1,2.26,1.89,0.37,54.46,2.26,1.89,1,2,1,9.68,96.3,105.97,22,16,17,40,30.91,29.09,0.56,25,30,45.45,13,3,13,3,34,22,12,34,22,6.98,97.06,5.25,94.44,1.72,2.61,99.7,6.28,43,34,9,55.84,43,34,31,27,4,53.45,31,27,1,2
"ANA",2013-02-02,1,60,40,74,-34,35.09,40,74,7,4,3,63.64,7,4,2.74,4.92,-2.18,35.75,2.74,4.92,5,5,0,28,88.24,116.24,18,30,18,27.27,27.27,45.45,0.5,37,29,56.06,10,9,10,9,29,35,-6,29,35,21.21,92.86,8.3,91.21,12.91,1.65,99.51,16.73,33,56,-23,37.08,33,56,25,34,-9,42.37,25,34,5,5
"ANA",2013-02-04,1,60,58,68,-10,46.03,58,68,2,1,1,66.67,2,1,2.84,3.01,-0.16,48.6,2.84,3.01,7,8,1,6.25,96.15,102.4,18,17,22,31.58,38.6,29.82,0.45,26,31,45.61,8,2,8,2,23,19,4,23,19,4.65,97.73,6.61,93.17,-1.96,4.56,99.78,2.63,43,44,-1,49.43,43,44,32,26,6,55.17,32,26,7,8
"ANA",2013-02-06,1,60,48,66,-18,42.11,48,66,3,0,3,100,3,0,2.62,2.3,0.32,53.25,2.62,2.3,3,7,4,15,100,115,17,26,20,26.98,31.75,41.27,0.46,27,36,42.86,3,8,3,8,7,31,-24,7,31,9.38,100,8.18,94.78,1.2,5.22,102.96,12.04,32,44,-12,42.11,32,44,20,31,-11,39.22,20,31,3,7
"ANA",2013-02-08,1,60,48,55,-7,46.6,48,55,1,3,-2,25,1,3,2.69,2.39,0.3,52.94,2.69,2.39,8,6,-2,4.76,89.29,94.05,17,12,24,32.08,45.28,22.64,0.41,26,27,49.06,6,4,6,4,24,20,4,24,20,2.78,92.5,7.47,94.02,-4.69,-1.52,101.49,-7.45,36,40,-4,47.37,36,40,21,28,-7,42.86,21,28,8,6
